model,model_order,condition_index,condition_group,condition,transform,v2_accuracy,v3_accuracy,delta_accuracy,v2_precision,v3_precision,delta_precision,v2_recall,v3_recall,delta_recall,v2_specificity,v3_specificity,delta_specificity,v2_f1,v3_f1,delta_f1,v2_balanced_accuracy,v3_balanced_accuracy,delta_balanced_accuracy,v2_mcc,v3_mcc,delta_mcc,v2_auroc,v3_auroc,delta_auroc,v2_average_precision,v3_average_precision,delta_average_precision,v2_brier,v3_brier,delta_brier,v2_ece_15,v3_ece_15,delta_ece_15,v2_tpr_at_fpr_1pct,v3_tpr_at_fpr_1pct,delta_tpr_at_fpr_1pct,v2_tpr_at_fpr_5pct,v3_tpr_at_fpr_5pct,delta_tpr_at_fpr_5pct
B0,0,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,0.7245,0.7185,-0.006,0.74062165,0.72227874,-0.01834291,0.691,0.71,0.019,0.758,0.727,-0.031,0.71495085,0.71608674,0.00113589,0.7245,0.7185,-0.006,0.45001119,0.43706316,-0.01294803,0.7991665,0.7921615,-0.007005,0.76380939,0.7648932,0.00108381,0.46161599,0.46822768,0.00661169,0.47595947,0.4793457,0.00338623,0.05,0.068,0.018,0.167,0.213,0.046
B0,0,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,0.695,0.6725,-0.0225,0.67075306,0.66731329,-0.00343977,0.766,0.688,-0.078,0.624,0.657,0.033,0.71521942,0.67749877,-0.03772065,0.695,0.6725,-0.0225,0.39399246,0.34516589,-0.04882657,0.7526475,0.7336595,-0.018988,0.71362168,0.70488315,-0.00873853,0.47922248,0.47881169,-0.00041079,0.48673706,0.48512622,-0.00161084,0.047,0.047,0.0,0.189,0.167,-0.022
B0,0,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,0.5215,0.5015,-0.02,0.51323077,0.50165017,-0.0115806,0.834,0.456,-0.378,0.209,0.547,0.338,0.63542857,0.47773704,-0.15769153,0.5215,0.5015,-0.02,0.05508408,0.0030125,-0.05207158,0.543915,0.489281,-0.054634,0.53902492,0.49352021,-0.04550471,0.49621754,0.48032289,-0.01589465,0.49644189,0.47773145,-0.01871044,0.0,0.0,0.0,0.067,0.03,-0.037
B0,0,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,0.7195,0.7285,0.009,0.76800977,0.76914016,0.00113039,0.629,0.653,0.024,0.81,0.804,-0.006,0.69158879,0.70632774,0.01473895,0.7195,0.7285,0.009,0.44637269,0.46230085,0.01592816,0.8002015,0.8054535,0.005252,0.77906541,0.777411,-0.00165441,0.4578842,0.46423077,0.00634657,0.47315552,0.47650415,0.00334863,0.037,0.035,-0.002,0.23,0.231,0.001
B0,0,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,0.7415,0.7315,-0.01,0.76863181,0.70837084,-0.06026097,0.691,0.787,0.096,0.792,0.676,-0.116,0.72775145,0.74561819,0.01786674,0.7415,0.7315,-0.01,0.48548255,0.46587894,-0.01960361,0.8142585,0.8061475,-0.008111,0.78622385,0.78129979,-0.00492406,0.45812956,0.47302425,0.01489469,0.47381885,0.48296191,0.00914306,0.054,0.0,-0.054,0.292,0.281,-0.011
B0,0,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,0.724,0.7285,0.0045,0.73779193,0.69715272,-0.04063921,0.695,0.808,0.113,0.753,0.649,-0.104,0.71575695,0.74849467,0.03273772,0.724,0.7285,0.0045,0.44875544,0.4628886,0.01413316,0.7936625,0.8035835,0.009921,0.75697637,0.7813048,0.02432843,0.46737422,0.47130479,0.00393057,0.47911792,0.48228516,0.00316724,0.046,0.11,0.064,0.16,0.298,0.138
B0,0,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,0.682,0.709,0.027,0.71822542,0.67924528,-0.03898014,0.599,0.792,0.193,0.765,0.626,-0.139,0.65321701,0.73130194,0.07808493,0.682,0.709,0.027,0.36912128,0.42388103,0.05475975,0.754023,0.773984,0.019961,0.71923008,0.73401668,0.0147866,0.47050229,0.47978481,0.00928252,0.48024316,0.48691504,0.00667188,0.025,0.0,-0.025,0.182,0.085,-0.097
B0,0,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,0.705,0.7075,0.0025,0.73190045,0.68090671,-0.05099374,0.647,0.781,0.134,0.763,0.634,-0.129,0.68683652,0.72752678,0.04069026,0.705,0.7075,0.0025,0.41278663,0.41955787,0.00677124,0.778274,0.7842875,0.0060135,0.73647173,0.75672936,0.02025763,0.46982587,0.4734062,0.00358033,0.48024268,0.48343506,0.00319238,0.034,0.098,0.064,0.132,0.098,-0.034
B0,0,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.656,0.6665,0.0105,0.68483412,0.65488372,-0.0299504,0.578,0.704,0.126,0.734,0.629,-0.105,0.62689805,0.67855422,0.05165617,0.656,0.6665,0.0105,0.31586714,0.33394053,0.01807339,0.7317495,0.7378945,0.006145,0.68813759,0.70598807,0.01785048,0.47641631,0.47658387,0.00016756,0.48367798,0.48453052,0.00085254,0.016,0.049,0.033,0.089,0.195,0.106
B0,0,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.6575,0.6525,-0.005,0.64227642,0.63090129,-0.01137513,0.711,0.735,0.024,0.604,0.57,-0.034,0.67489321,0.67898383,0.00409062,0.6575,0.6525,-0.005,0.31681885,0.30923856,-0.00758029,0.71052,0.715851,0.005331,0.6693958,0.68698949,0.01759369,0.48398068,0.48483819,0.00085751,0.48913086,0.48903076,-0.0001001,0.028,0.0,-0.028,0.028,0.06,0.032
B0,0,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.619,0.6105,-0.0085,0.59444444,0.63692689,0.04248245,0.749,0.514,-0.235,0.489,0.707,0.218,0.66283186,0.56889873,-0.09393313,0.619,0.6105,-0.0085,0.24647667,0.22523469,-0.02124198,0.6682515,0.650744,-0.0175075,0.63699829,0.63628884,-0.00070945,0.48846825,0.47907474,-0.00939351,0.4916626,0.48331323,-0.00834937,0.029,0.031,0.002,0.029,0.11,0.081
B1,1,0,clean,Clean,clean,0.748,0.7485,0.0005,0.75101215,0.72945522,-0.02155693,0.742,0.79,0.048,0.754,0.707,-0.047,0.74647887,0.75852136,0.01204249,0.748,0.7485,0.0005,0.49603572,0.49872081,0.00268509,0.820364,0.8152325,-0.0051315,0.77584443,0.78927368,0.01342925,0.45743621,0.46983125,0.01239504,0.47480176,0.48123608,0.00643432,0.0,0.1,0.1,0.092,0.279,0.187
B1,1,1,single_stage,JPEG Q90,jpeg__quality=90,0.75,0.7435,-0.0065,0.75406504,0.72651163,-0.02755341,0.742,0.781,0.039,0.758,0.706,-0.052,0.74798387,0.75277108,0.00478721,0.75,0.7435,-0.0065,0.50006401,0.48837549,-0.01168852,0.819821,0.8153765,-0.0044445,0.77450115,0.7909368,0.01643565,0.45755736,0.46959876,0.0120414,0.4748501,0.48106787,0.00621777,0.0,0.095,0.095,0.274,0.275,0.001
B1,1,2,single_stage,JPEG Q70,jpeg__quality=70,0.735,0.735,0.0,0.73594378,0.72859922,-0.00734456,0.733,0.749,0.016,0.737,0.721,-0.016,0.73446894,0.73865878,0.00418984,0.735,0.735,0.0,0.47000376,0.47018435,0.00018059,0.8094765,0.808152,-0.0013245,0.76450068,0.78022535,0.01572467,0.46215387,0.46873841,0.00658454,0.47750854,0.48035864,0.0028501,0.0,0.077,0.077,0.084,0.227,0.143
B1,1,3,single_stage,JPEG Q50,jpeg__quality=50,0.7345,0.7375,0.003,0.73473473,0.73035887,-0.00437586,0.734,0.753,0.019,0.735,0.722,-0.013,0.73436718,0.74150665,0.00713947,0.7345,0.7375,0.003,0.46900023,0.4752284,0.00622817,0.802861,0.8018185,-0.0010425,0.75540073,0.76974223,0.0143415,0.46465723,0.4699857,0.00532847,0.47891309,0.48096753,0.00205444,0.0,0.071,0.071,0.077,0.226,0.149
B1,1,4,single_stage,JPEG Q30,jpeg__quality=30,0.724,0.7265,0.0025,0.72997947,0.72271386,-0.00726561,0.711,0.735,0.024,0.737,0.718,-0.019,0.72036474,0.72880516,0.00844042,0.724,0.7265,0.0025,0.4481515,0.45306547,0.00491397,0.7924855,0.7952195,0.002734,0.74343561,0.7600586,0.01662299,0.4669293,0.47144694,0.00451764,0.48011963,0.48173706,0.00161743,0.0,0.0,0.0,0.071,0.215,0.144
B1,1,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,0.739,0.7395,0.0005,0.74792531,0.71674208,-0.03118323,0.721,0.792,0.071,0.757,0.687,-0.07,0.73421589,0.75249406,0.01827817,0.739,0.7395,0.0005,0.47831005,0.48166252,0.00335247,0.815699,0.8086625,-0.0070365,0.76844698,0.78092668,0.0124797,0.45798565,0.47235884,0.01437319,0.47495825,0.48269458,0.00773633,0.0,0.0,0.0,0.251,0.292,0.041
B1,1,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,0.7265,0.7235,-0.003,0.71633238,0.68988955,-0.02644283,0.75,0.812,0.062,0.703,0.635,-0.068,0.73277968,0.74598071,0.01320103,0.7265,0.7235,-0.003,0.45350117,0.45417097,0.0006698,0.795436,0.795174,-0.000262,0.74885797,0.76938075,0.02052278,0.4663349,0.47906729,0.01273239,0.4798833,0.48656299,0.00667969,0.064,0.0,-0.064,0.226,0.125,-0.101
B1,1,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,0.6395,0.708,0.0685,0.60310421,0.7,0.09689579,0.816,0.728,-0.088,0.463,0.688,0.225,0.69358266,0.71372549,0.02014283,0.6395,0.708,0.0685,0.29819693,0.4163332,0.11813627,0.7034715,0.767059,0.0635875,0.65990297,0.7427107,0.08280773,0.48594005,0.478586,-0.00735405,0.49094775,0.48540161,-0.00554614,0.024,0.059,0.035,0.024,0.182,0.158
B1,1,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,0.7345,0.726,-0.0085,0.72922776,0.69023569,-0.03899207,0.746,0.82,0.074,0.723,0.632,-0.091,0.73751854,0.74954296,0.01202442,0.7345,0.726,-0.0085,0.4691241,0.46020592,-0.00891818,0.801651,0.7979795,-0.0036715,0.75274603,0.77159336,0.01884733,0.46694497,0.47793644,0.01099147,0.48030273,0.48597778,0.00567505,0.071,0.0,-0.071,0.071,0.124,0.053
B1,1,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,0.63,0.6605,0.0305,0.60851419,0.72137931,0.11286512,0.729,0.523,-0.206,0.531,0.798,0.267,0.6633303,0.60637681,-0.05695349,0.63,0.6605,0.0305,0.26525144,0.33387272,0.06862128,0.6813865,0.7519715,0.070585,0.64028196,0.72733539,0.08705343,0.48590476,0.46992636,-0.0159784,0.49051245,0.47853174,-0.01198071,0.009,0.023,0.014,0.098,0.182,0.084
B1,1,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,0.689,0.735,0.046,0.74545455,0.71759259,-0.02786196,0.574,0.775,0.201,0.804,0.695,-0.109,0.64858757,0.74519231,0.09660474,0.689,0.735,0.046,0.38841311,0.47151126,0.08309815,0.7924125,0.8005245,0.008112,0.75464242,0.76795551,0.01331309,0.45805294,0.47137498,0.01332204,0.47391089,0.48199634,0.00808545,0.036,0.0,-0.036,0.161,0.098,-0.063
B1,1,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,0.644,0.707,0.063,0.70338983,0.69491525,-0.00847458,0.498,0.738,0.24,0.79,0.676,-0.114,0.58313817,0.71580989,0.13267172,0.644,0.707,0.063,0.30112347,0.41479801,0.11367454,0.742732,0.775892,0.03316,0.70696071,0.73841249,0.03145178,0.46764076,0.47332166,0.0056809,0.47876147,0.482875,0.00411353,0.025,0.0,-0.025,0.181,0.082,-0.099
B1,1,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,0.6005,0.6185,0.018,0.59454374,0.60762943,0.01308569,0.632,0.669,0.037,0.569,0.568,-0.001,0.61269995,0.6368396,0.02413965,0.6005,0.6185,0.018,0.20140008,0.23821815,0.03681807,0.639291,0.6652545,0.0259635,0.61677425,0.65689449,0.04012024,0.49329187,0.49001603,-0.00327584,0.4944292,0.49176953,-0.00265967,0.018,0.046,0.028,0.086,0.122,0.036
B1,1,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,0.732,0.7205,-0.0115,0.74217119,0.74045802,-0.00171317,0.711,0.679,-0.032,0.753,0.762,0.009,0.72625128,0.70839854,-0.01785274,0.732,0.7205,-0.0115,0.46440979,0.44252692,-0.02188287,0.8171945,0.7996395,-0.017555,0.77795083,0.76667655,-0.01127428,0.45970096,0.46835714,0.00865618,0.47590747,0.47945703,0.00354956,0.053,0.043,-0.01,0.238,0.168,-0.07
B1,1,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,0.7365,0.739,0.0025,0.73579262,0.70357751,-0.03221511,0.738,0.826,0.088,0.735,0.652,-0.083,0.73689466,0.7598896,0.02299494,0.7365,0.739,0.0025,0.47300213,0.48540453,0.0124024,0.803729,0.8142625,0.0105335,0.7539741,0.78830882,0.03433472,0.45742418,0.4729712,0.01554702,0.47451636,0.48343018,0.00891382,0.0,0.135,0.135,0.097,0.135,0.038
B1,1,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,0.7225,0.7345,0.012,0.73201251,0.71221719,-0.01979532,0.702,0.787,0.085,0.743,0.682,-0.061,0.71669219,0.74774347,0.03105128,0.7225,0.7345,0.012,0.44537449,0.47160694,0.02623245,0.8047515,0.8046165,-0.000135,0.76122994,0.77093491,0.00970497,0.45960235,0.46888689,0.00928454,0.47559058,0.48085498,0.0052644,0.0,0.0,0.0,0.073,0.109,0.036
B1,1,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,0.7205,0.727,0.0065,0.72340426,0.69808028,-0.02532398,0.714,0.8,0.086,0.727,0.654,-0.073,0.71867136,0.74557316,0.0269018,0.7205,0.727,0.0065,0.44103727,0.45891749,0.01788022,0.7917065,0.7954665,0.00376,0.74363846,0.76934429,0.02570583,0.4682008,0.47685228,0.00865148,0.48076904,0.48521924,0.0044502,0.067,0.112,0.045,0.067,0.112,0.045
B1,1,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,0.7215,0.732,0.0105,0.72441743,0.72095238,-0.00346505,0.715,0.757,0.042,0.728,0.707,-0.021,0.71967791,0.73853659,0.01885868,0.7215,0.732,0.0105,0.44303744,0.46458109,0.02154365,0.7954855,0.799129,0.0036435,0.74980425,0.76420506,0.01440081,0.46441609,0.46866247,0.00424638,0.47838818,0.48039697,0.00200879,0.0,0.0,0.0,0.07,0.246,0.176
B1,1,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.6785,0.717,0.0385,0.66855524,0.69944853,0.03089329,0.708,0.761,0.053,0.649,0.673,0.024,0.68771248,0.7289272,0.04121472,0.6785,0.717,0.0385,0.35762299,0.43569027,0.07806728,0.749359,0.7841815,0.0348225,0.70580324,0.75304328,0.04724004,0.47844067,0.4748187,-0.00362197,0.48627979,0.48389307,-0.00238672,0.0,0.0,0.0,0.048,0.102,0.054
B1,1,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.636,0.7105,0.0745,0.64376321,0.67703953,0.03327632,0.609,0.805,0.196,0.663,0.616,-0.047,0.62589928,0.73549566,0.10959638,0.636,0.7105,0.0745,0.27239745,0.42872691,0.15632946,0.6992695,0.7809295,0.08166,0.66227572,0.74408029,0.08180457,0.48143679,0.47998295,-0.00145384,0.48752979,0.48735962,-0.00017017,0.025,0.0,-0.025,0.107,0.112,0.005
B1,1,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.6105,0.666,0.0555,0.60759494,0.67473684,0.0671419,0.624,0.641,0.017,0.597,0.691,0.094,0.61568821,0.6574359,0.04174769,0.6105,0.666,0.0555,0.2210806,0.33241578,0.11133518,0.6551275,0.7342405,0.079113,0.62413006,0.70510718,0.08097712,0.48969467,0.47671087,-0.0129838,0.49208301,0.48414697,-0.00793604,0.015,0.054,0.039,0.077,0.151,0.074
B2,2,0,clean,Clean,clean,0.691,0.6955,0.0045,0.76164384,0.7404674,-0.02117644,0.556,0.602,0.046,0.826,0.789,-0.037,0.64277457,0.66409266,0.02131809,0.691,0.6955,0.0045,0.3967346,0.39802113,0.00128653,0.763233,0.76412,0.000887,0.75876213,0.76559244,0.00683031,0.46755687,0.46910555,0.00154868,0.47670825,0.47795996,0.00125171,0.112,0.095,-0.017,0.25,0.301,0.051
B2,2,1,single_stage,JPEG Q90,jpeg__quality=90,0.696,0.7005,0.0045,0.7565445,0.73505275,-0.02149175,0.578,0.627,0.049,0.814,0.774,-0.04,0.6553288,0.67674042,0.02141162,0.696,0.7005,0.0045,0.40339467,0.40540411,0.00200944,0.7741405,0.775039,0.0008985,0.76863157,0.77897371,0.01034214,0.46805488,0.46954221,0.00148733,0.47777222,0.47854456,0.00077234,0.12,0.104,-0.016,0.265,0.331,0.066
B2,2,2,single_stage,JPEG Q70,jpeg__quality=70,0.682,0.7005,0.0185,0.72195122,0.68861712,-0.0333341,0.592,0.732,0.14,0.772,0.669,-0.103,0.65054945,0.70964615,0.0590967,0.682,0.7005,0.0185,0.37004407,0.40179816,0.03175409,0.7610255,0.7694555,0.00843,0.75282868,0.76884524,0.01601656,0.47388941,0.47660535,0.00271594,0.48112476,0.48349353,0.00236877,0.091,0.121,0.03,0.241,0.276,0.035
B2,2,3,single_stage,JPEG Q50,jpeg__quality=50,0.676,0.6945,0.0185,0.79830508,0.79877112,0.00046604,0.471,0.52,0.049,0.881,0.869,-0.012,0.59245283,0.62992126,0.03746843,0.676,0.6945,0.0185,0.38592872,0.41510038,0.02917166,0.786153,0.785805,-0.000348,0.78372092,0.78870067,0.00497975,0.46964488,0.46983234,0.00018746,0.47776318,0.47812146,0.00035828,0.141,0.133,-0.008,0.302,0.331,0.029
B2,2,4,single_stage,JPEG Q30,jpeg__quality=30,0.6735,0.686,0.0125,0.78489327,0.77514793,-0.00974534,0.478,0.524,0.046,0.869,0.848,-0.021,0.59415786,0.62529833,0.03114047,0.6735,0.686,0.0125,0.37701381,0.39321095,0.01619714,0.758298,0.755904,-0.002394,0.75895557,0.76213309,0.00317752,0.47224477,0.47181623,-0.00042854,0.47908508,0.47888818,-0.0001969,0.126,0.125,-0.001,0.25,0.252,0.002
B2,2,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,0.678,0.6895,0.0115,0.83208955,0.8163606,-0.01572895,0.446,0.489,0.043,0.91,0.89,-0.02,0.58072917,0.61163227,0.0309031,0.678,0.6895,0.0115,0.40188062,0.4137202,0.01183958,0.794029,0.7948225,0.0007935,0.79181036,0.79913945,0.00732909,0.45838983,0.45933802,0.00094819,0.47049255,0.47128467,0.00079212,0.113,0.146,0.033,0.303,0.334,0.031
B2,2,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,0.5505,0.574,0.0235,0.95495495,0.96835443,0.01339948,0.106,0.153,0.047,0.995,0.995,0.0,0.19081908,0.2642487,0.07342962,0.5505,0.574,0.0235,0.22056871,0.27433951,0.0537708,0.7876775,0.790196,0.0025185,0.78484621,0.79666005,0.01181384,0.42653377,0.42964261,0.00310884,0.44462488,0.4472782,0.00265332,0.16,0.17,0.01,0.29,0.348,0.058
B2,2,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,0.5025,0.5055,0.003,1.0,1.0,0.0,0.005,0.011,0.006,1.0,1.0,0.0,0.00995025,0.02176063,0.01181038,0.5025,0.5055,0.003,0.05006262,0.07436678,0.02430416,0.7984205,0.809637,0.0112165,0.78718347,0.80347653,0.01629306,0.41102847,0.40372199,-0.00730648,0.42808765,0.4232168,-0.00487085,0.12,0.141,0.021,0.29,0.326,0.036
B2,2,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,0.5025,0.512,0.0095,1.0,1.0,0.0,0.005,0.024,0.019,1.0,1.0,0.0,0.00995025,0.046875,0.03692475,0.5025,0.512,0.0095,0.05006262,0.11020775,0.06014513,0.7850375,0.792124,0.0070865,0.78660327,0.79955244,0.01294917,0.41151114,0.41974316,0.00823202,0.42615039,0.43484741,0.00869702,0.182,0.194,0.012,0.318,0.35,0.032
B2,2,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,0.5,0.501,0.001,0.0,1.0,1.0,0.0,0.002,0.002,1.0,1.0,0.0,0.0,0.00399202,0.00399202,0.5,0.501,0.001,0.0,0.0316386,0.0316386,0.786758,0.79699,0.010232,0.78281376,0.79445255,0.01163879,0.40986208,0.39981434,-0.01004774,0.42444482,0.41705359,-0.00739123,0.119,0.147,0.028,0.303,0.35,0.047
B2,2,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,0.5005,0.5025,0.002,1.0,1.0,0.0,0.001,0.005,0.004,1.0,1.0,0.0,0.001998,0.00995025,0.00795225,0.5005,0.5025,0.002,0.02236627,0.05006262,0.02769635,0.776472,0.782594,0.006122,0.77007737,0.78200365,0.01192628,0.35000287,0.35828494,0.00828207,0.3668363,0.37738892,0.01055262,0.118,0.164,0.046,0.278,0.278,0.0
