sample_id,path,label,split,source_dataset,generator_id,official_split,project_split,real_source,model_name_raw,canonical_generator_id,architecture,generator_exposure,sha256,phash,selection_seed,source_revision,source_file,source_row_group,source_row_index,width,height,format,byte_size
cf_train_aigi_00005c52eb22ba91,train/aigi/cf_train_aigi_00005c52eb22ba91_00000036.png.png,1,train,community-forensics-small,stablediffusionapi/anime-illust-diffusion-xl,train,train,LAION,stablediffusionapi/anime-illust-diffusion-xl,stablediffusionapi/anime-illust-diffusion-xl,LatDiff,train_seen,87d02376c3d41d4d198304b038cbb0b56f7c00bb26d4a0b99060ecca727439ab,94f66e1c63313cc9,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_52.parquet,0,2307,512,512,PNG,352283
cf_train_aigi_0007e0b71eb7c5de,train/aigi/cf_train_aigi_0007e0b71eb7c5de_00000156.png.png,1,train,community-forensics-small,renee127/magic-cube,train,train,LAION,renee127/magic-cube,renee127/magic-cube,LatDiff,train_seen,d1a970fcf7c1c146de87bfe4a7aa6df626db161ba0bf99d635a71801f1d09a25,b1234ac90185bffb,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_21.parquet,0,979,512,512,PNG,527533
cf_train_aigi_0018c4d093d042e5,train/aigi/cf_train_aigi_0018c4d093d042e5_00000039.png.png,1,train,community-forensics-small,stablediffusionapi/toonyou,train,train,LAION,stablediffusionapi/toonyou,stablediffusionapi/toonyou,LatDiff,train_seen,e30cd117411d1e957822935428a65da9c27639db8ba69611b179be80c2df32b7,b8d3e14e84bd26b1,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_51.parquet,0,2901,512,512,PNG,392633
cf_train_aigi_002be821d0958a36,train/aigi/cf_train_aigi_002be821d0958a36_00000073.png.png,1,train,community-forensics-small,stablediffusionapi/foto-assisted-diffusion,train,train,LAION,stablediffusionapi/foto-assisted-diffusion,stablediffusionapi/foto-assisted-diffusion,LatDiff,train_seen,743c735c3661e204ca9e8ce160d278da77632c9d9e63eb0ddb69776e86c49086,a92922ad546d97cb,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_52.parquet,0,2731,512,512,PNG,460473
cf_train_aigi_002d59fb85f48468,train/aigi/cf_train_aigi_002d59fb85f48468_00000135.png.png,1,train,community-forensics-small,stablediffusionapi/anime-illust-diffusion-xl,train,train,LAION,stablediffusionapi/anime-illust-diffusion-xl,stablediffusionapi/anime-illust-diffusion-xl,LatDiff,train_seen,b034de833f1cf84b0bffe355b891ca400743b7ae6c7c72e5db378fa85a069fcd,c6c88e7758652cb3,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_52.parquet,0,2310,512,512,PNG,384261
cf_train_aigi_002f3221dfe73bcc,train/aigi/cf_train_aigi_002f3221dfe73bcc_00000316.png.png,1,train,community-forensics-small,anasahmad/my-robot-tsx,train,train,Landscapes HQ,anasahmad/my-robot-tsx,anasahmad/my-robot-tsx,LatDiff,train_seen,d0c3b09f302022c5154d861d90f44f270ca78538d8e3e32f86accd265f3f3974,bee6ada16819186d,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_17.parquet,0,2295,512,512,PNG,395310
cf_train_aigi_003f6ae8ba207665,train/aigi/cf_train_aigi_003f6ae8ba207665_00000204.png.png,1,train,community-forensics-small,stablediffusionapi/juggernautxl-v9-rundiffus,train,train,Landscapes HQ,stablediffusionapi/juggernautxl-v9-rundiffus,stablediffusionapi/juggernautxl-v9-rundiffus,LatDiff,train_seen,9d1b9e449750cbe1487c6fccf16665de442c53f6a4158dccc22d29159803af14,bc9c2323cc276733,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_65.parquet,0,2392,512,512,PNG,330314
cf_train_aigi_00465c41cff820f4,train/aigi/cf_train_aigi_00465c41cff820f4_00000303.png.png,1,train,community-forensics-small,ranajithore/stable-diffusion-v2-1-especially-trained-for-plant-cell-diagram,train,train,Landscapes HQ,ranajithore/stable-diffusion-v2-1-especially-trained-for-plant-cell-diagram,ranajithore/stable-diffusion-v2-1-especially-trained-for-plant-cell-diagram,LatDiff,train_seen,c6430cb21427791ac9e9bedd39429310df3fa98410782efb3188271b49219088,b0f07e8fa60b116d,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_28.parquet,0,2661,512,512,PNG,280109
cf_train_aigi_0048ed7006edc89d,train/aigi/cf_train_aigi_0048ed7006edc89d_00000220.png.png,1,train,community-forensics-small,subhrabiswas023/beautiful-lotus-cpb,train,train,LAION,subhrabiswas023/beautiful-lotus-cpb,subhrabiswas023/beautiful-lotus-cpb,LatDiff,train_seen,0a95ec081faac4268fc3011efd81b9fb4106fd5aaa104c9c4354940602bc1990,9614e87b2f9f6620,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_30.parquet,0,2385,512,512,PNG,371216
cf_train_aigi_004e90dea685fa7b,train/aigi/cf_train_aigi_004e90dea685fa7b_00000397.png.png,1,train,community-forensics-small,fredzhang7/paint-journey-v2,train,train,Landscapes HQ,FredZhang7/paint-journey-v2,fredzhang7/paint-journey-v2,LatDiff,train_seen,b5b1f772bc4b15b1aba1522ae693e30b75123c815666a9ac71d30950f73c3df7,8d977228ed565c4c,20260828,6c539a534c07917307c381f5af4053c6091b5278,data/HFCF_small_5.parquet,0,1953,512,512,PNG,398164
